work_id,institution_id,institution_name
https://openalex.org/W2138821921,https://openalex.org/I45643870,Pontifícia Universidade Católica do Rio Grande do Sul
https://openalex.org/W2138821921,https://openalex.org/I130442723,Universidade Federal do Rio Grande do Sul
https://openalex.org/W4409538583,https://openalex.org/I134085113,King Fahd University of Petroleum and Minerals
https://openalex.org/W2337932244,https://openalex.org/I4210143841,Saudi Aramco (Saudi Arabia)
https://openalex.org/W2337932244,https://openalex.org/I134085113,King Fahd University of Petroleum and Minerals
https://openalex.org/W2079375834,https://openalex.org/I134085113,King Fahd University of Petroleum and Minerals
https://openalex.org/W2079375834,https://openalex.org/I205746353,University of Dhaka
https://openalex.org/W1977858458,https://openalex.org/I134085113,King Fahd University of Petroleum and Minerals
https://openalex.org/W2770118863,https://openalex.org/I66752286,University of Milano-Bicocca
https://openalex.org/W2770118863,https://openalex.org/I45129253,University College London
https://openalex.org/W2770118863,https://openalex.org/I134085113,King Fahd University of Petroleum and Minerals
https://openalex.org/W3133851408,https://openalex.org/I134085113,King Fahd University of Petroleum and Minerals
https://openalex.org/W2007652423,https://openalex.org/I134085113,King Fahd University of Petroleum and Minerals
https://openalex.org/W4280633470,https://openalex.org/I134085113,King Fahd University of Petroleum and Minerals
https://openalex.org/W4210670979,https://openalex.org/I134085113,King Fahd University of Petroleum and Minerals
https://openalex.org/W4210670979,https://openalex.org/I21370196,Aristotle University of Thessaloniki
https://openalex.org/W4210670979,https://openalex.org/I71267560,University of Naples Federico II
https://openalex.org/W4210670979,https://openalex.org/I74788687,Comenius University Bratislava
https://openalex.org/W2019495710,https://openalex.org/I134085113,King Fahd University of Petroleum and Minerals
https://openalex.org/W2019495710,https://openalex.org/I159247623,Mansoura University
https://openalex.org/W3159125505,https://openalex.org/I201324441,University of Ferrara
https://openalex.org/W3159125505,https://openalex.org/I97018004,Stanford University
https://openalex.org/W3159125505,https://openalex.org/I60060512,Trinity University
https://openalex.org/W3159125505,https://openalex.org/I134085113,King Fahd University of Petroleum and Minerals
https://openalex.org/W3159125505,https://openalex.org/I1313606977,Museum für Naturkunde
https://openalex.org/W3159125505,https://openalex.org/I4210113422,Max Planck Institute for Chemistry
https://openalex.org/W2565262769,https://openalex.org/I53276908,Marymount University
https://openalex.org/W2014997696,https://openalex.org/I123387679,Uppsala University
https://openalex.org/W2014997696,https://openalex.org/I189462010,Universiti Brunei Darussalam
https://openalex.org/W2014997696,https://openalex.org/I121748325,Universidad Complutense de Madrid
https://openalex.org/W2014997696,https://openalex.org/I134085113,King Fahd University of Petroleum and Minerals
https://openalex.org/W2014997696,https://openalex.org/I4210108136,Petroleum Geo-Services (Norway)
https://openalex.org/W2360667412,https://openalex.org/I4210143841,Saudi Aramco (Saudi Arabia)
https://openalex.org/W2360667412,https://openalex.org/I134085113,King Fahd University of Petroleum and Minerals
https://openalex.org/W1996133323,https://openalex.org/I134085113,King Fahd University of Petroleum and Minerals
https://openalex.org/W3012276169,https://openalex.org/I134085113,King Fahd University of Petroleum and Minerals
https://openalex.org/W3012276169,https://openalex.org/I87216513,Michigan State University
https://openalex.org/W3017675009,https://openalex.org/I97018004,Stanford University
https://openalex.org/W3017675009,https://openalex.org/I4210150951,Shell (United States)
https://openalex.org/W3017675009,https://openalex.org/I28334184,The University of Arizona Global Campus
https://openalex.org/W3017675009,https://openalex.org/I17301866,University of Alabama
https://openalex.org/W3017675009,https://openalex.org/I4210152482,Geological Survey of Alabama
https://openalex.org/W3017675009,https://openalex.org/I60060512,Trinity University
https://openalex.org/W3017675009,https://openalex.org/I134085113,King Fahd University of Petroleum and Minerals
https://openalex.org/W3017675009,https://openalex.org/I201324441,University of Ferrara
https://openalex.org/W3017675009,https://openalex.org/I178232147,Guizhou University
https://openalex.org/W3119223630,https://openalex.org/I124055696,University of Copenhagen
https://openalex.org/W3119223630,https://openalex.org/I134085113,King Fahd University of Petroleum and Minerals
https://openalex.org/W3119223630,https://openalex.org/I2801979204,Geological Survey of Denmark and Greenland
https://openalex.org/W4309195350,https://openalex.org/I134085113,King Fahd University of Petroleum and Minerals
https://openalex.org/W2126127598,https://openalex.org/I134085113,King Fahd University of Petroleum and Minerals
https://openalex.org/W4390618494,https://openalex.org/I201324441,University of Ferrara
https://openalex.org/W4390618494,https://openalex.org/I122346577,University of Modena and Reggio Emilia
https://openalex.org/W4390618494,https://openalex.org/I60060512,Trinity University
https://openalex.org/W4390618494,https://openalex.org/I97018004,Stanford University
https://openalex.org/W4390618494,https://openalex.org/I134085113,King Fahd University of Petroleum and Minerals
