work_id,topic_id,topic_name
https://openalex.org/W2181906270,https://openalex.org/T10965,Geological formations and processes
https://openalex.org/W2181906270,https://openalex.org/T10577,Hydrology and Sediment Transport Processes
https://openalex.org/W2181906270,https://openalex.org/T10889,Soil erosion and sediment transport
https://openalex.org/W2277166486,https://openalex.org/T10965,Geological formations and processes
https://openalex.org/W2277166486,https://openalex.org/T10535,Landslides and related hazards
https://openalex.org/W2277166486,https://openalex.org/T10577,Hydrology and Sediment Transport Processes
https://openalex.org/W2121643099,https://openalex.org/T10965,Geological formations and processes
https://openalex.org/W2121643099,https://openalex.org/T10017,Geology and Paleoclimatology Research
https://openalex.org/W2121643099,https://openalex.org/T10001,Geological and Geochemical Analysis
https://openalex.org/W3126847908,https://openalex.org/T12157,Geochemistry and Geologic Mapping
https://openalex.org/W3126847908,https://openalex.org/T10399,Hydrocarbon exploration and reservoir analysis
https://openalex.org/W3126847908,https://openalex.org/T10139,Heavy metals in environment
https://openalex.org/W3210145828,https://openalex.org/T10965,Geological formations and processes
https://openalex.org/W3210145828,https://openalex.org/T10399,Hydrocarbon exploration and reservoir analysis
https://openalex.org/W3210145828,https://openalex.org/T10017,Geology and Paleoclimatology Research
https://openalex.org/W2742221252,https://openalex.org/T10965,Geological formations and processes
https://openalex.org/W2742221252,https://openalex.org/T10399,Hydrocarbon exploration and reservoir analysis
https://openalex.org/W2742221252,https://openalex.org/T13177,Geological and Geophysical Studies
https://openalex.org/W4408327353,https://openalex.org/T12157,Geochemistry and Geologic Mapping
https://openalex.org/W4408327353,https://openalex.org/T11740,Geochemistry and Elemental Analysis
https://openalex.org/W4408327353,https://openalex.org/T10946,Radioactivity and Radon Measurements
https://openalex.org/W4200232387,https://openalex.org/T12157,Geochemistry and Geologic Mapping
https://openalex.org/W4200232387,https://openalex.org/T12282,Mineral Processing and Grinding
https://openalex.org/W4200232387,https://openalex.org/T10640,Spectroscopy and Chemometric Analyses
https://openalex.org/W4200187165,https://openalex.org/T10965,Geological formations and processes
https://openalex.org/W4200187165,https://openalex.org/T10577,Hydrology and Sediment Transport Processes
https://openalex.org/W4200187165,https://openalex.org/T10889,Soil erosion and sediment transport
https://openalex.org/W4394078902,https://openalex.org/T10965,Geological formations and processes
https://openalex.org/W4394078902,https://openalex.org/T10017,Geology and Paleoclimatology Research
https://openalex.org/W4394078902,https://openalex.org/T12383,Aeolian processes and effects
https://openalex.org/W4414226490,https://openalex.org/T10995,Methane Hydrates and Related Phenomena
https://openalex.org/W4414226490,https://openalex.org/T11278,Calcium Carbonate Crystallization and Inhibition
https://openalex.org/W4414226490,https://openalex.org/T10399,Hydrocarbon exploration and reservoir analysis
https://openalex.org/W7124737262,https://openalex.org/T11278,Calcium Carbonate Crystallization and Inhibition
https://openalex.org/W7124737262,https://openalex.org/T10635,Hydraulic Fracturing and Reservoir Analysis
https://openalex.org/W7124737262,https://openalex.org/T12071,Marine Biology and Environmental Chemistry
https://openalex.org/W2991877883,https://openalex.org/T10965,Geological formations and processes
https://openalex.org/W2991877883,https://openalex.org/T10109,Paleontology and Stratigraphy of Fossils
https://openalex.org/W2991877883,https://openalex.org/T10017,Geology and Paleoclimatology Research
https://openalex.org/W2042373016,https://openalex.org/T10399,Hydrocarbon exploration and reservoir analysis
